Target,Function Target,Number of Alpha Carbons in Target,Reference,Function Reference,Number of Alpha Carbons in Reference,Distance
6Z26,,2203,5S4Z,CELL CYCLE,397,3.9636095763608368
7LG3,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,394,3.964934489360583
7POK,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,372,3.9656111826836793
7BJS,,1297,6LS5,HYDROLASE,198,3.965694676417464
7D86,,1411,4HB2,PROTEIN TRANSPORT,185,3.9659617373355065
7DAY,,58,6MJ7,SIGNALING PROTEIN,451,3.96657036848525
7ZC9,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,392,3.966666509622073
7OC3,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,407,3.9685561264340015
7PV5,,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,159,3.971863187310389
6THV,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,381,3.9728234694710944
6ZW1,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,380,3.9740243686496064
6ELK,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,392,3.9749840804171854
5SGM,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,315,3.975086337919519
7O2R,,58,6MJ7,SIGNALING PROTEIN,357,3.9776642350554376
6VRO,,2203,5S4Z,CELL CYCLE,334,3.977928533431989
6S7X,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,332,3.978779531417949
6PYO,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,318,3.981172461321166
8DHH,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,367,3.981344266003879
6UJO,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,384,3.981917782754249
6XRO,,1297,6LS5,HYDROLASE,188,3.982569564535963
7SVB,,58,6MJ7,SIGNALING PROTEIN,555,3.983357348964655
7O2R,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,357,3.9838248494287978
7OC3,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,407,3.983962874864987
7YFK,,58,6MJ7,SIGNALING PROTEIN,580,3.985624363545573
8PBR,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,370,3.986103741772204
7JQG,,3131,5X6Z,TRANSFERASE,499,3.987124526179838
8F1X,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,318,3.987670568548142
8BJK,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,366,3.98915556596508
6WSJ,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,358,3.991019601724248
7XVX,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,366,3.99190157145513
8OIJ,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,350,3.9923029034276167
8G1Z,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,359,3.992702762076417
7KP1,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,378,3.9935101536533817
7SH4,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,378,3.99398136694772
6YUY,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,360,3.994255890958301
7O08,,58,6MJ7,SIGNALING PROTEIN,451,3.995246904659667
6PZS,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,362,3.9961789338162648
6XRP,,1297,6LS5,HYDROLASE,186,3.996441254535888
6V7A,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,357,3.996590684562023
7UK2,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,362,3.996996154843097
6TWA,,58,6MJ7,SIGNALING PROTEIN,522,3.997366333090652
6WYP,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,358,3.999229114069741
6OS4,,1006,6S8L,STRUCTURAL PROTEIN,147,4.00043442860495
7KHG,,2203,5S4Z,CELL CYCLE,329,4.000480875150587
6VJ8,,1297,6LS5,HYDROLASE,182,4.000755133364109
7ZC9,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,392,4.000890545800932
3N9N,,3131,5X6Z,TRANSFERASE,501,4.001411776288539
7XHK,,2203,5S4Z,CELL CYCLE,334,4.004687264219885
7MFW,,1297,6LS5,HYDROLASE,191,4.004943761026663
8K71,,2203,5S4Z,CELL CYCLE,340,4.005128806739689
3N9P,,3131,5X6Z,TRANSFERASE,501,4.005581211911131
6OS4,,1017,7ODN,STRUCTURAL PROTEIN,147,4.0065145252433005
1D4X,,3131,5X6Z,TRANSFERASE,492,4.008552979439633
7TGQ,,1411,4HB2,PROTEIN TRANSPORT,182,4.008785006294726
7SH4,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,378,4.009807047221351
6VJ9,,1297,6LS5,HYDROLASE,182,4.010830364681563
7KP1,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,378,4.011162007969433
8DHH,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,367,4.013788277748195
6PKH,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,312,4.014325864510449
7JL7,,3131,5X6Z,TRANSFERASE,479,4.014663909362234
6S9F,,3131,5X6Z,TRANSFERASE,598,4.016365753087201
7JHD,,3131,5X6Z,TRANSFERASE,467,4.016622544402034
6O5Z,,58,6MJ7,SIGNALING PROTEIN,531,4.016641867147458
3N9Q,,3131,5X6Z,TRANSFERASE,496,4.016743777697622
3N9O,,3131,5X6Z,TRANSFERASE,495,4.016762938261089
7PO9,,1411,4HB2,PROTEIN TRANSPORT,172,4.017107117349424
7ME5,,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,153,4.017614214108589
7BJI,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,349,4.017643226650399
7CUY,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,307,4.018194906191819
5SGM,,2203,5S4Z,CELL CYCLE,315,4.018372196339823
6S7X,,2203,5S4Z,CELL CYCLE,332,4.01866288400921
6Y20,,3131,5X6Z,TRANSFERASE,495,4.020029645212426
7D86,,1297,6LS5,HYDROLASE,185,4.020664656334635
7XVX,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,366,4.0208787402591
7JO7,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,367,4.020996032818069
8CIH,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,362,4.02126145278311
7Y9C,,58,6MJ7,SIGNALING PROTEIN,562,4.021458689689712
7KVX,,1297,6LS5,HYDROLASE,181,4.021964201163841
6PYO,,2203,5S4Z,CELL CYCLE,318,4.023452932911114
6YUY,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,360,4.024834258783904
8HAQ,,3131,5X6Z,TRANSFERASE,490,4.025014305809908
6KCP,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,333,4.025020418124982
8OIJ,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,350,4.026307806413899
8F1X,,2203,5S4Z,CELL CYCLE,318,4.027311334995671
6Q9M,,3131,5X6Z,TRANSFERASE,525,4.029503202242549
7YB7,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,294,4.03081104287632
6WFW,,3131,5X6Z,TRANSFERASE,491,4.031562360296404
7Y8D,,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,151,4.032051801146266
8SO1,,3131,5X6Z,TRANSFERASE,470,4.034774984052382
6S7Y,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,320,4.0347791715763215
7MQY,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,370,4.035995271336756
8G8O,,58,6MJ7,SIGNALING PROTEIN,558,4.037171619213099
7ALT,,3131,5X6Z,TRANSFERASE,535,4.041091659789109
6OS4,,1035,6ZWB,CELL CYCLE,147,4.041163291519714
8AK3,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,298,4.041691416665658
7DCJ,,1297,6LS5,HYDROLASE,204,4.042400071299039
8A8Q,,3131,5X6Z,TRANSFERASE,489,4.043530537592768
8OGC,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,305,4.0437305898001
7YBX,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,300,4.045853974401181
7WCW,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,300,4.046507732924551
8GYN,,1411,4HB2,PROTEIN TRANSPORT,169,4.047238144452583
8X72,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,294,4.048754479625945
6KD6,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,325,4.048761216949772
6YYK,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,318,4.049148482090846
8DIO,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,300,4.050374207975429
6Z26,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,397,4.050794529070444
8OG5,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,301,4.051131895107588
7JO7,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,367,4.051353392632962
8CIH,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,362,4.052391675038845
7MY4,,1411,4HB2,PROTEIN TRANSPORT,281,4.05451444453472
8DHU,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,299,4.055137654646619
6OS4,,1035,7YZ5,CELL CYCLE,147,4.057088555040787
6PKH,,2203,5S4Z,CELL CYCLE,312,4.057089390879791
6GWQ,,3131,5X6Z,TRANSFERASE,475,4.057864685455352
7AB8,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,311,4.058624619935517
6XG7,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,304,4.059650420666488
7BJI,,2203,5S4Z,CELL CYCLE,349,4.05972494346476
6XYS,,58,6MJ7,SIGNALING PROTEIN,537,4.060029967025522
7MQY,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,370,4.06038946749076
8BS5,,1411,4HB2,PROTEIN TRANSPORT,164,4.060598612056072
8AK2,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,294,4.062206545131982
7CUY,,2203,5S4Z,CELL CYCLE,307,4.063963706073553
7F2X,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,303,4.064352489166115
6TBN,,3131,5X6Z,TRANSFERASE,483,4.064959525861975
6OS4,,1059,5JSM,TRANSFERASE/TRANSFERASE INHIBITOR,147,4.067167532283085
7MRS,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,366,4.0677796079247965
6HXV,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,333,4.068515115125799
6KCP,,2203,5S4Z,CELL CYCLE,333,4.071061861251365
6Z26,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,397,4.071274040373905
7YB7,,2203,5S4Z,CELL CYCLE,294,4.073815988358494
7DB2,,3131,5X6Z,TRANSFERASE,468,4.073923852549933
7TGQ,,1297,6LS5,HYDROLASE,182,4.074436489890239
6YRB,,1411,4HB2,PROTEIN TRANSPORT,199,4.07457741733347
6TFW,,58,6MJ7,SIGNALING PROTEIN,530,4.075283862700484
6S7Y,,2203,5S4Z,CELL CYCLE,320,4.07681336835728
7APJ,,3131,5X6Z,TRANSFERASE,502,4.079506894018673
8B8Z,,58,6MJ7,SIGNALING PROTEIN,528,4.080758403061594
6JLH,,58,6MJ7,SIGNALING PROTEIN,531,4.081158477222031
7QG1,,58,6MJ7,SIGNALING PROTEIN,544,4.08168638410379
7DB0,,3131,5X6Z,TRANSFERASE,461,4.082291230603799
7O08,,3131,5X6Z,TRANSFERASE,451,4.082749823976868
7PO9,,1297,6LS5,HYDROLASE,172,4.083131934703564
7DB4,,3131,5X6Z,TRANSFERASE,454,4.083257915997493
6X5Q,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,284,4.083752924339026
7DAY,,3131,5X6Z,TRANSFERASE,451,4.084306207972234
8AK3,,2203,5S4Z,CELL CYCLE,298,4.08459535968329
7MRS,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,366,4.084934219622062
6VRO,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,334,4.086548943068194
7BTG,,1411,4HB2,PROTEIN TRANSPORT,157,4.086751983178208
7YBX,,2203,5S4Z,CELL CYCLE,300,4.087602329549153
7R5F,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,301,4.0876061279777085
7WCW,,2203,5S4Z,CELL CYCLE,300,4.089123903851935
7DAX,,3131,5X6Z,TRANSFERASE,452,4.089426470747087
8OGC,,2203,5S4Z,CELL CYCLE,305,4.0894492212939495
6YYK,,2203,5S4Z,CELL CYCLE,318,4.09023583799932
8X72,,2203,5S4Z,CELL CYCLE,294,4.090243427545449
6KD6,,2203,5S4Z,CELL CYCLE,325,4.090582163692227
6JVR,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,305,4.091343917459494
7RL3,,1411,4HB2,PROTEIN TRANSPORT,165,4.091473566409621
7DAZ,,3131,5X6Z,TRANSFERASE,457,4.092189468814387
8DIO,,2203,5S4Z,CELL CYCLE,300,4.093028106950765
8OG5,,2203,5S4Z,CELL CYCLE,301,4.0944169489245
6ZUW,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,287,4.096252608106762
7DB3,,3131,5X6Z,TRANSFERASE,450,4.096746129653812
6ULV,,3131,5X6Z,TRANSFERASE,455,4.097583086368826
7DB1,,3131,5X6Z,TRANSFERASE,450,4.098426679018024
8EWR,,3131,5X6Z,TRANSFERASE,447,4.098667963544929
8DHU,,2203,5S4Z,CELL CYCLE,299,4.099756496207138
7QUT,,58,6MJ7,SIGNALING PROTEIN,504,4.100106253504779
7AB8,,2203,5S4Z,CELL CYCLE,311,4.101307924138111
6XG7,,2203,5S4Z,CELL CYCLE,304,4.102895234611055
8SWE,,58,6MJ7,SIGNALING PROTEIN,574,4.102901434540229
7MRO,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,305,4.1041247455316645
7DOV,,3131,5X6Z,TRANSFERASE,445,4.1058909089404745
8AK2,,2203,5S4Z,CELL CYCLE,294,4.10590710660613
6VRO,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,334,4.105949509824611
8C6H,,58,6MJ7,SIGNALING PROTEIN,500,4.106073333228824
8C69,,58,6MJ7,SIGNALING PROTEIN,500,4.108841385600259
8C1U,,58,6MJ7,SIGNALING PROTEIN,500,4.108941843644642
7KHG,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,329,4.109032261171444
8C6F,,58,6MJ7,SIGNALING PROTEIN,500,4.109329124797474
7XHK,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,334,4.10946690027906
6HXV,,2203,5S4Z,CELL CYCLE,333,4.109631347033088
7PV5,,1411,4HB2,PROTEIN TRANSPORT,159,4.110016834403748
8C6B,,58,6MJ7,SIGNALING PROTEIN,500,4.110538902914942
8C6C,,58,6MJ7,SIGNALING PROTEIN,500,4.110642973706458
7UAD,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,277,4.116006742404855
7F2X,,2203,5S4Z,CELL CYCLE,303,4.116892169145164
8K71,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,340,4.117048324795415
8C6A,,58,6MJ7,SIGNALING PROTEIN,500,4.117386847591359
7AZT,,58,6MJ7,SIGNALING PROTEIN,502,4.117490430151529
7KHG,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,329,4.120415957538397
7AYV,,58,6MJ7,SIGNALING PROTEIN,502,4.120593127218616
8GYN,,1297,6LS5,HYDROLASE,169,4.121897687839268
7XHK,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,334,4.122867063395924
6S7X,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,332,4.123702276981497
5SGM,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,315,4.124906306133486
6X5Q,,2203,5S4Z,CELL CYCLE,284,4.125324261494574
6PYO,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,318,4.126852016417841
8K71,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,340,4.127618261784995
6VNV,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,274,4.128217167562863
8HTC,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,290,4.128246322298109
8BS5,,1297,6LS5,HYDROLASE,164,4.128643719203853
8BOK,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,282,4.129862358487679
8G8S,,3131,5X6Z,TRANSFERASE,448,4.1308553669115815
7R5F,,2203,5S4Z,CELL CYCLE,301,4.1309357435717775
3K6J,,3131,5X6Z,TRANSFERASE,431,4.131648545757599
6JVR,,2203,5S4Z,CELL CYCLE,305,4.133361366961366
7FCL,,3131,5X6Z,TRANSFERASE,438,4.133556827033441
7ME5,,1411,4HB2,PROTEIN TRANSPORT,153,4.135545678209701
5SGM,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,315,4.136250318046188
8F1X,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,318,4.136611117515458
6S7X,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,332,4.136759906052226
6ZUW,,2203,5S4Z,CELL CYCLE,287,4.139088471480751
6PYO,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,318,4.1397775577854725
8F1X,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,318,4.14334103402166
6YRB,,1297,6LS5,HYDROLASE,199,4.1463222146310255
7JHD,,58,6MJ7,SIGNALING PROTEIN,467,4.146659192024603
7MRO,,2203,5S4Z,CELL CYCLE,305,4.147327270712943
7PRX,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,267,4.1506853446041445
7ULU,,58,6MJ7,SIGNALING PROTEIN,550,4.151408134541486
6HXY,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,301,4.152527384770245
7BJI,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,349,4.1546160727012
7Y8D,,1411,4HB2,PROTEIN TRANSPORT,151,4.155290463317625
4IRR,,58,6MJ7,SIGNALING PROTEIN,589,4.155659746636773
6KCP,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,333,4.157960310332929
6PKH,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,312,4.158553500084076
7BTG,,1297,6LS5,HYDROLASE,157,4.158753153301913
7JVO,,3131,5X6Z,TRANSFERASE,432,4.160089661204943
7UAD,,2203,5S4Z,CELL CYCLE,277,4.160226414767886
8OMK,,58,6MJ7,SIGNALING PROTEIN,600,4.16122054422088
6KCP,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,333,4.161448820666373
6PKH,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,312,4.163689459457627
6WMS,,3131,5X6Z,TRANSFERASE,419,4.16380624720045
7CUY,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,307,4.165148173070373
7BJI,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,349,4.16640074112098
6LPH,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,272,4.168769029515964
7AXF,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,267,4.168974829440315
7CUY,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,307,4.170201167690041
6VNV,,2203,5S4Z,CELL CYCLE,274,4.170823710232264
6ZMU,,3131,5X6Z,TRANSFERASE,424,4.17164460176959
8BOK,,2203,5S4Z,CELL CYCLE,282,4.171916460424783
6YYK,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,318,4.173277152645
7RL3,,1297,6LS5,HYDROLASE,165,4.173999821502215
8HTC,,2203,5S4Z,CELL CYCLE,290,4.174454801137244
7YB7,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,294,4.1754184385598165
6S7Y,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,320,4.175684139018614
7CMR,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,263,4.178458216680613
7YB7,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,294,4.1797837016700665
7PV5,,1297,6LS5,HYDROLASE,159,4.179944533650957
6S7Y,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,320,4.180235846848534
6OS4,,1411,4HB2,PROTEIN TRANSPORT,147,4.181041981279535
6LXC,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,261,4.182108297323412
7YBX,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,300,4.183509460948807
7YBX,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,300,4.183736426595877
1ZL9,,3131,5X6Z,TRANSFERASE,414,4.183775985354451
7MY4,,1297,6LS5,HYDROLASE,281,4.183858717697564
6XTZ,,3131,5X6Z,TRANSFERASE,425,4.184331708630526
8AK3,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,298,4.184505516633969
6KD6,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,325,4.1847140981621695
6KD6,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,325,4.185284282596688
7WCW,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,300,4.1855637637769645
8AK3,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,298,4.186096142915647
7WCW,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,300,4.186840042044651
6YYK,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,318,4.186983238673597
8OGC,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,305,4.18971874048669
7BJO,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,257,4.190441195493362
8X72,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,294,4.19046989591431
7B39,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,255,4.191518206538829
8OG5,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,301,4.19238217904516
8DIO,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,300,4.192474960114564
7F2X,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,303,4.1926631604458136
6XJN,,3131,5X6Z,TRANSFERASE,417,4.193538728681792
8OGC,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,305,4.193555240464298
7F2X,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,303,4.194131175463206
8DHU,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,299,4.1943045315772975
7PRX,,2203,5S4Z,CELL CYCLE,267,4.194397591968961
7OY4,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,258,4.194533820154007
6XG7,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,304,4.194920045465345
6HXY,,2203,5S4Z,CELL CYCLE,301,4.195896809594892
8X72,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,294,4.1965082866645975
7AB8,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,311,4.196665815962795
7AB8,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,311,4.196960281891918
8OG5,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,301,4.1982927381877095
6XG7,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,304,4.198496388875604
6HXV,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,333,4.199188657960326
8DHU,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,299,4.199666609415547
4JND,,3131,5X6Z,TRANSFERASE,412,4.200099960658426
6HXV,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,333,4.200802818741696
8AK2,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,294,4.202599426263335
8AK2,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,294,4.202952976599993
8DIO,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,300,4.203666475226333
7ZFX,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,249,4.205686915703069
7OXU,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,249,4.208048376848257
6T2M,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,249,4.208493390204584
8CK5,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,251,4.209704420901187
6X5Q,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,284,4.210656996531845
7ME5,,1297,6LS5,HYDROLASE,153,4.212398913215299
8E8B,,3131,5X6Z,TRANSFERASE,436,4.212742616860657
6LPH,,2203,5S4Z,CELL CYCLE,272,4.213018787641779
8CKC,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,249,4.2132627007386985
7AXF,,2203,5S4Z,CELL CYCLE,267,4.214520991482095
6X5Q,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,284,4.214861387133961
7R5F,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,301,4.216920857308362
7BO6,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,247,4.217079491302517
7VNI,,3131,5X6Z,TRANSFERASE,433,4.219254503237412
8PZ7,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,247,4.219587677598789
7OXZ,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,248,4.219820753902309
6JVR,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,305,4.220599089358204
7CMR,,2203,5S4Z,CELL CYCLE,263,4.221454457672653
7ZFG,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,247,4.221477821030701
8PZ9,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,246,4.222120030562784
6XZI,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,247,4.222193096563258
7R5F,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,301,4.222748035074818
7CIU,,3131,5X6Z,TRANSFERASE,415,4.224628973800623
8SKI,,3131,5X6Z,TRANSFERASE,426,4.22487963940734
6XZJ,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,245,4.225297142150226
6LXC,,2203,5S4Z,CELL CYCLE,261,4.226166743839903
6ZUW,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,287,4.226983644296998
7MRO,,3087,3B82,BIOSYNTHETIC PROTEIN/TRANSFERASE,305,4.22936319842406
7X15,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,251,4.229673142395219
6JVR,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,305,4.230482869219847
6ZUW,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,287,4.231050523655419
6XI4,,3131,5X6Z,TRANSFERASE,408,4.231817265596535
6XZH,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,245,4.232322584238701
6KOJ,,2213,7VMG,STRUCTURAL PROTEIN/INHIBITOR,257,4.23271722363528
6XDB,,3131,5X6Z,TRANSFERASE,404,4.234163403976876
7BJO,,2203,5S4Z,CELL CYCLE,257,4.234325387869104
7Y8D,,1297,6LS5,HYDROLASE,151,4.23481284835713
7MRO,,2541,4MJO,HYDROLASE/HYDROLASE INHIBITOR,305,4.235051725906053
7B39,,2203,5S4Z,CELL CYCLE,255,4.235910030693435
6YRQ,,3131,5X6Z,TRANSFERASE,400,4.237780222440166
7OY4,,2203,5S4Z,CELL CYCLE,258,4.239207629294415
